Nazwa,ECTS,Tryb,Kryteria
Muzea w wielokulturowym świecie,3.0,w sali i w terenie,"Bieżące przygotowanie do zajęć i aktywność.
Ocena z egzaminu na podstawie wiedzy zdobytej podczas wykładów i z zalecanych lektur."
Prawa człowieka,2.0,mieszany: w sali i zdalniew sali,"- aktywne uczestnictwo w zajęciach (m.in. monitorowanie sytuacji praw człowieka w wybranym regionie Azji lub Afryki)
- prezentacja ustna
- esej pisemny / test końcowy
- kontrola obecności (dopuszczalne dwie nieobecności, czyli 4 godz., w semestrze; w przypadku nieobecności spowodowanej chorobą zaświadczenie lekarskie usprawiedliwiające tę nieobecność powinno zostać przedłożone w terminie siedmiu dni od wskazanej w nim daty zakończenia zwolnienia)"
Stosunki międzynarodowe w Azji i Afryce z uwzględnieniem historii obszarów  - wykład i ćwiczenia,3.0,w sali,"Wymagana obecność na zajęciach ćwiczeniowych, dopuszczona jedna nieobecność w semestrze. 
Ocena na podstawie egzaminu oraz aktywności na zajęciach ćwiczeniowych."
Teoria komunikacji,3.0,w sali,"Ocena z egzaminu pisemnego (lub, jeśli niebędzie możliwości przeprowadzenia stacjonarnego egzaminu pisemnego, z egzaminu ustnego on-line) na podstawie wiedzy zdobytej w trakcie wykładów oraz z zalecanych lektur. Jeśli nie będzie możliwe stacjonarne przeprowadzenie egzaminu pisemnego, egzamin on-line będzie miał formę ustną."
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Historia Azji Środkowej i Mongolii (cz.1) (Z),2.0,mieszany: w sali i zdalniew sali,"OBECNOŚĆ NA ZAJĘCIACH, EGZAMIN PISEMNY / USTNY
EGZAMIN PISEMNY / USTNY"
Historia Tybetu,3.0,mieszany: w sali i zdalniew sali,"OBECNOŚC NA ZAĘCIACH, EGZAMIN PISEMNY"
Religie Tybetu,3.0,mieszany: w sali i zdalniew sali,"OBECNOŚC NA ZAJĘCIACH, EGZAMIN PISEMNY I USTNY"
"Textology, orality and performing arts in Asia and Africa - lecture(15h) and seminar(30h)",4.0,w sali,Exam
Sztuka i estetyka Tybetu,3.0,w sali,"OBECNOŚC NA ZAJĘCIACH, EGZAMIN PISEMNY"
Nie tylko Pamuk: literatura turecka po polsku,3.0,mieszany: w sali i zdalniew salizdalnie,"Ocena ciągła (50%) - przygotowanie do zajęć i aktywność podczas nich (student przygotowuje się do spotkania poprzez lekturę dostarczonego przez prowadzącego tekstu - opowiadania lub fragmentu powieści, aby móc efektywnie uczestniczyć w zajęciach, zadawać pytania, brać udział w dyskusji). 
Zaliczenie ustne (50%) - maks. 15 minutowe wystąpienie na temat wybranej powieści tureckiej przełożonej na j. polski przeczytanej w całości, odpowiedź na ew. pytania dotyczące utworu, autora, kontekstu historycznego i kulturowego.
Dozwolone są dwie nieusprawiedliwione nieobecności w semestrze. Nieobecność, usprawiedliwiona bądź nie, na więcej niż 50% zajęć skutkuje niedopuszczeniem do egzaminu."
Buddhism,4.0,w sali,egzamin pisemny (test)
Islam,4.0,w sali,egzamin pisemny (test)
Indian Buddhist Monasticism: Special Topic Lecture (Buddhism),3.0,w sali,Zaliczenie na ocenę w formie pisemnej (test).
Interreligious Relations and Dialogue (Religion and Society in Asia and Africa),3.0,w sali,Egzamin pisemny (test)
Other Religions and Beliefs of Asia and Africa (Z),3.0,w sali,"Aktywność na zajęciach, egzamin pisemny (test)."
Religious Arts and Symbols (Religion and Society in Asia and Africa),3.0,w sali i w terenie,Written exam (test). A minimum score of 60% is required to pass.
Religious Conflicts and Controversial Issues (Religion and Society in Asia and Africa),3.0,w sali,Egzamin pisemny (test)
Różnorodność kulturowa i religijna Azerbejdżanu,3.0,w sali,"Egzamin ustny
Stopień przyswojenia materiału omawianego podczas zajęć, aktywność w dyskusji.
Ze względu na monograficzny i autorski charakter wykładu, obecność na zajęciach stanowi podstawę zaliczenia. Treści prezentowane podczas zajęć nie są w pełni
dostępne w ogólnodostępnej literaturze przedmiotu, a stanowią oryginalne opracowanie merytoryczne opracowane przez prowadzącego.
 100% obecności – 50 punktów (ocena dostateczna – 3.0)
 2. Egzamin ustny (50% oceny):
Podczas egzaminu student odpowiada na kilka pytań z materiału omawianego na wykładach. Ocena zależy od poziomu szczegółowości odpowiedzi oraz znajomości
kontekstu i kluczowych zagadnień.
 Bardzo dobra (5.0): pełna i wyczerpująca odpowiedź, znajomość szczegółów
i kontekstu.
 Dobry plus (4.5): odpowiedź poprawna z drobnymi brakami.
 Dobry (4.0): poprawna odpowiedź na większość pytań.
 Dostateczny plus (3.5): odpowiedzi ogólne, z podstawową znajomością tematu.
 Dostateczny (3.0): minimalne odpowiedzi na pytania, ale wykazanie się podstawową wiedzą"
Religious Texts in Asia and Africa (Z),3.0,w sali,egzamin pisemny
Savoir vivre w kulturach Azji i Afryki,2.0,w sali,udział i aktywność na zajęciach oraz końcowy test sprawdzający nabytą wiedzę
Historia Turcji II,3.0,mieszany: w sali i zdalniew sali,"Student powinien zapoznać się ze źródłami historycznymi i literaturą szczegółową (co najmniej 6 pozycji) wybranymi przez siebie z listy dostarczonej przez wykładowcę. Zakres końcowego egzaminu obejmować będzie oprócz faktografii z wykładu i podręczników również treść tych lektur.
Egzamin ustny"
Kultura Azerbejdżanu,3.0,w sali,Egzamin ustny: obejmujący materiał omówiony podczas wykładów
Współczesna Afryka: zagadnienia społeczno-polityczne,3.0,w sali,"- Kontrola obecności. Dopuszczalne dwie nieobecności (czyli 4 godz.) w semestrze. W przypadku nieobecności spowodowanej chorobą
zaświadczenie lekarskie usprawiedliwiające tę nieobecność powinno zostać przedłożone w terminie siedmiu dni od wskazanej w nim daty
zakończenia zwolnienia.
- Aktywne uczestnictwo w zajęciach: udział w dyskusjach na temat aktualnych wydarzeń w regionie
- Prezentacja ustna
- Test końcowy"
Antropologia etniczności i nacjonalizmu1,3.0,w sali,"-             egzamin pisemny.
-             kontrola obecności."
Białoruś 2020,3.0,zdalnie,"Wymogi:
1. Obecność
- max. 3 nieobecności;
- powyżej 3 nieobecności - zaliczenie poszczególnych tematów;
- od 7 nieobecności - skreślenie.
2. Test zaliczeniowy:
- test w pierwszy wtorek po zakończeniu wykładu, wtorek 18.30-20.00;
- pytania zamknięte;
3. Poprawka w sesji poprawkowej"
Białorusini a idea jedności wschodniosłowiańskiej w XIX-XXI wieku,3.0,zdalnie,"- ocenianie ciągłe w trakcie zajęć, w tym weryfikacja znajomości pozycji z listy lektur
- praca pisemna /esej/ i prezentacja na zakończenie kursu
- test"
Białoruski nacjonalizm na tle procesów narodotwórczych w Europie w XIX i XX wieku,3.0,zdalnie,"- praca pisemna /esej/ czyli prezentacja wybranego tematu na zakończenie kursu
 - praca pisemna /test/ na zakończenie kursu
 - frekwencja na zajęciach."
Domestic Sources of US Foreign Policy in the Post-Soviet Era,4.0,lektura monograficznazdalnie,"(tylko po angielsku) No more than two absences from class are allowed; students are expected to attend all classes, on time. Class discussion accounts for 25% of the grade; if you don't participate actively in class your grade will suffer. A final, analytical essay on a mutually agreeable topic is mandatory, to be submitted in English via email. Detailed requirements for the essay and a non-extendable due date will be announced in class."
Gruzja w obiektywie: współczesne wyzwania społeczne i polityczne w kinie dokumentalnym,2.0,zdalnie,"Obecność na zajęciach, praca zaliczeniowa (esej)."
Horrory Europy Wschodniej: kultura grozy krajów poradzieckiech,3.0,zdalnie,"Forma zaliczenia
Kryteria oceniania - obecność na zajęciach (dopuszczane są 2 nieusprawiedliwione nieobecności)
- aktywność na zajęciach
- zapoznanie się z materiałami źródłowymi (przede wszystkim wybrane filmy gatunkowe, teksty literackie i analityczne)
- egzamin"
"History, Identity, and Return of Geopolitics: Russo-Ukrainian War in the Postcolonial Context",4.0,zdalnie,(tylko po angielsku) Written esseys (50%) + final exam - written or oral (50%)
Historia praktyczna. Nauki historyczne w przestrzeni publicznej,3.0,zdalnie,"– obecność na zajęciach
– praca pisemna /esej/ lub prezentacja na zakończenie kursu"
Kuszenie wolnością: historia i władza w obiektywie kina sowieckiego,3.0,w salizdalnie,"Ocena z zajęć odbywa się na podstawie osiągnięć studenta podczas zajęć wspólnych oraz pracy pisemnej, poświęconej wybranemu zagadnieniu z zakresu omawianej problematyki."
"Polityka historyczna państw postsowieckich (Rosja, Ukraina, Białoruś)",3.0,w salizdalnie,"Kurs obejmuje cotygodniowe zajęcia w wymiarze 2 godz. wykładu. W ramach zajęć :
 -Na wykładach prezentowany jest materiał dokumentujący (fotografie, prezentacje i video ) i ilustrujący omawiane zagadnienia.
- Część wykładów realizowana jest na zasadzie dyskusji nad zadaną literaturą .
-  ocenianie ciągłe w trakcie zajęć, w tym weryfikacja znajomości  pozycji z listy  lektur
 -  praca pisemna /esej/ lub prezentacja na zakończenie kursu
- obecność na zajęciach"
"Religie w Rosji, Ukrainie i Białorusi; przeszłość i współczesność",3.0,w salizdalnie,"Kurs obejmuje cotygodniowe zajęcia w wymiarze 2 godz. wykładu W ramach zajęć :
 -Na wykładach prezentowany jest materiał dokumentujący (fotografie, prezentacje i video ) i ilustrujący omawiane zagadnienia.
- Część wykładów realizowana jest na zasadzie dyskusji nad zadaną literaturą .
-  ocenianie ciągłe w trakcie zajęć, w tym weryfikacja znajomości  pozycji z listy  lektur
 -  praca pisemna /esej/ lub prezentacja na zakończenie kursu
-obecność na zajęciach"
Ukraina 2022,3.0,zdalnie,"Wymogi:
1. Obecność
- max. 3 nieobecności;
- powyżej 3 nieobecności - zaliczenie poszczególnych tematów;
- od 7 nieobecności - skreślenie."
"Współczesna Gruzja. Życie codzienne, społeczeństwo, kultura, polityka",2.0,zdalnie,"- obecność na zajęciach
- praca zaliczeniowa (esej)"
Wojna hybrydowa - współczesne narzędzie (geo)polityki. Wymiar wschodnio-europejski,3.0,zdalniezdalnie,"1) Obecność i aktywność na zajęciach;
2) egzamin ustny;"
Żydowska Atlantyda: zaginiony świat sztetla na Litwie,3.0,zdalnie,"Egzamin pisemny (esej)
Obecność na zajęciach"
Recent Polish Philosophy,2.0,w sali,"Istnieją dwa sposoby zaliczenia zajęć: 
1. zaliczenie 3 krótkich testów w trakcie semestru i przygotowanie 3 podsumowań wybranych prac członków Szkoły Lwowsko-Warszawskiej;
2. zaliczenie pisemnego testu końcowego pod koniec semestru
Dopuszczalna liczba nieobecności podlegających usprawiedliwieniu: 2"
Sign-Language-Reality,3.0,zdalnie,"Prerequisites for passing the seminar are:
1] Regular attendance,
2] Delivering a presentation or commentary, or delivering a written paper on a previously agreed topic.
Number of absences: 2 during the entire academic year"
Kurs na Równość - przeciwdziałanie dyskryminacji na UW,2.0,zdalnie,"Zaliczenie całości interaktywnego kursu równa się ocenie bardzo dobrej.
Niższe oceny stanowią procentowy wymiar ukończenia kursu. Najniższa pozytywna ocena to 60% kursu."
Armia rzymska - najskuteczniejsza machina wojenna starożytności?,3.0,zdalnie,"Zaliczenie na ocenę na podstawie:
- aktywności na zajęciach, przygotowanie i zaangażowanie w dyskusję nad omawianymi tematami (50% udziału w ocenie końcowej)
- wyników końcowego egzaminu przeprowadzonego w formie ustnej (50% udziału w ocenie końcowej)."
Digitizing the past. Advanced methods for documenting the cultural heritage,3.0,zdalnie,Grade on the basis of a final oral examination (100% contribution to the final grade).
Podstawy wnioskowania statystycznego dla humanistów z elementami R,6.0,mieszany: w sali i zdalnie,"W trakcie realizacji przedmiotu studentowi zadawane są prace do wykonania poza godzinami zorganizowanymi. Oceniane będzie terminowe przedłożenie rozwiązań, poprawność uzyskanych wyników i sposób poradzenia sobie z problemem. Stopień zrozumienia wykonanych działań oceniona zostanie w indywidualnej rozmowie. Ponadto, przy ocenie końcowej brana będzie pod uwagę aktywność studenta na zajęciach."
Alternatywy status quo,4.0,w sali,"Zaliczenie na ocenę na podstawie aktywności, przygotowanego referatu i przeczytanych lektur."
Membership in the EU and the Problems of Democracy and Human Rights Protection (kurs internetowy),8.0,zdalnie,"Na ocenę składają się dwa elementy.
Pierwszy (51 procent oceny całkowitej) to pięć quizów (każdy na zakończenie zajęć).
Druga część oceny (pozostałe 49 procent oceny całkowitej) studenci uzyskują podczas 2-godzinnego zaliczenia, który polega na odpowiedzi na pytania otwarte - studenci wypowiadają się w formie krótkiego eseju (jego długość nie jest ograniczona).
Egzamin pisemny student może napisać po polsku lub po angielsku.
Podczas zaliczenia nie można mieć przy sobie żadnych pomocniczych materiałów."
Historia integracji europejskiej: od zarania do współczesności,4.0,zdalnie,"Sposób zaliczenia: aktywne uczestnictwo (50%) oraz końcowy egzamin-test (50%). Aktywne uczestnictwo oznacza obecność (10%), wygłoszenie referatu na jeden lub dwa tematy (max. 30%), zabieranie głosu w dyskusji (max. 10%). Zaliczenie to minimum 60%."
Jak zdobyć pracę? Proces rekrutacyjny w Polsce i w Unii Europejskiej,3.0,zdalnie,"Przygotowanie:
- pracy zaliczeniowej: Mój wymarzony pracodawca
- CV profesjonalnego i studenckiego
- listu motywacyjnego. 
- uruchomienie profilu na LINKEDIN"
Katastrofa klimatyczna,4.0,w sali,"Aktywność intelektualna na spotkaniach
- Sposób zaliczenia:
Ustny, ( z ewentualnym dodatkiem w postaci krótkiego testu )"
"Koniec świata. Kryzys, atomizacja, upadek",4.0,zdalnie,"Ocena ciągła aktywności. Praca zaliczeniowa pisemna. Przygotowanie i obrona pracy zaliczeniowej dotyczącej końca porządku międzynarodowego, kryzysów i zagrożeń dezintegracją."
Warsztaty Akceleracji i Zastosowań Ciężkich Jonów,4.0,w sali,Bieżące postępy i aktywność studentów są oceniane przez opiekuna ćwiczenia (ocena ciągła). Zaliczenie odbywa się na podstawie ustnej prezentacji każdej grupy na temat przeprowadzonego pomiaru i uzyskanych wyników. Prezentacja ta jest publiczna i studenci muszą być przygotowani do odpowiedzi na pytania z sali
"Debaty warszawskie. Narracje nieoczywiste. Fakty, ludzie, instytucje.",3.0,w sali,"Ocena aktywności podczas zajęć, zaliczenie na ocenę.
Obecność na zajęciach i udział w dyskusji. -Esej zaliczeniowy po zakończeniu cyklu zajęć."
Człowiek w przestrzeni - krótkie wprowadzenie do geografii społecznej,1.5,zdalnie,Obecność na wykładach (50% pkt) oraz test jednokrotnego wyboru z materiału prezentowanego podczas zajęć (50%). Do uzyskania zaliczenia konieczne jest minimum 60% punktów.
Debaty o transporcie i mobilności,2.0,w sali,"Przygotowanie do zajęć oraz forma i wynik wybranej debaty
Obecność i aktywność na zajęciach"
Geografia miast i regionów metropolitalnych1,3.0,w sali,Wykład: wynik egzaminu pisemnego (100%).
Introduction to urban studies,3.0,w sali,"Obecność i aktywność na zajęciach (20%), jedna prezentacja wybranego tekstu (30%) oraz (do wyboru) egzamin ustny lub esej (50%)."
Ludzie – Przestrzeń – Pamięć (O przestrzeniach użytkowych i symbolicznych i o „węzłach pamięci”),3.0,zdalnie,Egzamin pisemny. Ostateczna ocena jest wynikiem uzyskanym na egzaminie.
Teorie i polityki rozwoju miast i regionów,3.0,w sali,"70%: egzamin pisemny: test pisemny (10 pytań za 2 punkty, 1 pytanie opisowe za 10 pkt.);
30%: obecność i aktywność na zajęciach"
"Gospodarka, społeczeństwo, przestrzeń. Seminarium EUROREG-OGUN1",2.0,mieszany: w sali i zdalnie,"Zajęcia prowadzone są w trybie zdalnym synchronicznym i asynchronicznym przy użyciu narzędzia Google Meet oraz przez publikację nagrań z seminariów. Na 6 wybranych seminariach student/ka zadaje prelegentowi minimum 1 pytanie dotyczące wystąpienia poprzez wpis na czacie (udział synchroniczny) lub przesłanie pytania do koordynatorki przedmiotu (w ciągu 7 dni od seminarium, udział asynchroniczny). Pytania powinny być powiązane z treścią wystąpienia, być sformułowane w zrozumiały sposób, być logiczne, spójne i pozwalające na udzielenie odpowiedzi w ramach dyskusji towarzyszącej wystąpieniu."
"Tariffs, Trade Wars, and Economic Isolation of the United States (Cła, wojny handlowe i gospodarcza izolacja Stanów Zjednoczonych)",5.0,w sali,"Na ocenę z kursu będą składały się trzy elementy (z wagami określonymi poniżej):
50% = dokonana przez prowadzącego ocena aktywności uczestników w cotygodniowych zajęciach w klasie (w tym ocena prezentowanych przez uczestników zadanych lektur) 
25% = test końcowy (pisemny; może zawierać pytania do wyboru, prawda-fałsz, dobieranie par, a także krótkie pytania otwarte.)
25% = esej końcowy na wybrany temat związany z treścią kursu [do złożenia przed końcem semestru – konkretna data złożenia i temat(y) zostaną podane studentom z co najmniej 3-tygodniowym wyprzedzeniem; zgodnie z zasadami OSA UW – minimalna objętość 5 znormalizowanych stron; maksymalna 6 stron; język angielski, dopuszczalne formaty: doc, docx, rtf, pdf, open office; dalsze szczegóły będą dostępne na platformie e-learningowej].
Minimum potrzebne do zaliczenia kursu to 50 procent. ( tj. 50 punktów ze 100). Punkty nie będą zaokrąglane. Oceny będą wystawione wg następującej skali:
< 0; 50) = 2.0
<50; 60) = 3.0
<60; 70) = 3.5
<70; 80) = 4.0
<80; 90) = 4.5
<90; 100> = 5.0
Poprawka będzie uwzględniała jedynie wyniki obejmującego cały materiał testu (co oznacza, że punkty za nie będą brane pod uwagę – jedynie test). Test poprawkowy będzie miał miejsce w oficjalnej sesji poprawkowej. Skala ocen na poprawce będzie bardziej stroma niż ta obowiązująca w oryginalnym terminie."
The Congress (Kongres),5.0,w sali,"Grading methods and criteria: 
The students will be required to have read all the reading assigned prior to the class they will be addressed in.  Also students are expected to be active participants in any class discussions.  The teacher reserves the right to modify the average of the above-mentioned assignments by 10% based upon the strength and value of students class participation though out the semester.
Quizzes and Take-Home Assignments:
There will be a number of quizzes and/or take-home assignments tasked throughout this class.  Quizzes will focus on the previous week's material, whereas the take-home assignment will be short/brief tasks regarding an issue or topic relevant to that part of the class. There will be between 7 to 12 of these quizzes/take-home assignments (50% of overall class grade)
Course Research Paper (50% of the overall grade for the course).  Students will be expected to write up a 12-15 page (double-spaced, standard fonts, excluding cover pages and bibliography) Research paper focusing on a topic regarding or focusing on aspects or things that concern the US Congress. The given topic of the research paper needs to be agreed on with the professor, no later than Week 8."
Frankofońskie seminarium badawcze nauk społecznych i humanistycznych (4901-FSBNSiH-OG),4.0,w sali,"Na ocenę końcową składają się następujące wymagania:
- Obecność: dopuszczalna jest jedna nieobecność.
- Aktywne uczestnictwo – udział w dyskusjach jest istotnym elementem kształcenia. Przed zajęciami studenci są proszeni o przygotowanie wymaganych tekstów oraz pytań dotyczących planowanego spotkania, tak aby mogli odnieść się do omawianych zagadnień w sposób krytyczny. Premiowana będzie jakość pytań, a nie ich ilość.
- Esej (w języku francuskim) – studenci wybiorą temat związany z jednym ze spotkań, a następnie napiszą krótką pracę (około 2000 słów), do której załączą bibliografię. Koordynatorzy ocenią wybór tematu, jakość argumentacji i wypowiedzi pisemnej. Praca zostanie sprawdzona w ramach uniwersyteckiego programu antyplagiatowego oraz przez program wykrywający ChatGPT. Praca zostanie złożona do oceny na platformie KAMPUS.
Warunkiem zaliczenia przedmiotu jest obecność na zajęciach oraz uzyskanie pozytywnej oceny ze średniej ważonej ocen eseju oraz oceny aktywności."
Przestrzeń prywatna i przestrzeń publiczna: nauki społeczne wobec teraźniejszości,3.0,w sali,"Metodą oceniania będzie ewaluacja pracy pisemnej pod kątem opanowania wiedzy z zakresu głównej problematyki konwersatorium, oraz pod kątem umiejętności problemowego połączenia wątków pojawiających się w dyskusji z zaproszonymi badaczami i w komentowanym tekście naukowym.
Esej/recenzja na temat jednego z tekstów akademickich zaproponowanych przez prowadzących i prelegentów (9000 znaków, w języku polskim lub angielskim)."
Sztuka na papierze. Jak badać i wykorzystywać w badaniach ryciny i rysunki,2.0,w sali,"Obecność, aktywność na zajęciach, dyskusja, praca z obiektem, krótkie prace pisemne na zadany temat."
"Dawna książka – środek przekazu, dzieło sztuki, źródło badawcze",2.0,w sali,"Obecność, aktywność na zajęciach, wywiązywanie się z zadawanych prac i lektury tekstów. Dopuszczalna jedna nieobecność.
Test przesyłany po ostatnich zajęciach, trzy tygodnie na odesłanie odpowiedzi. Zaliczenie na ocenę (ZAL-OCENA)."
Taniec i śpiew - folklor różnych regionów Polski,4.0,w sali,"Kontrola obecności
30h udziału w ćwiczeniach, 30h pracy bieżącej, 30h przygotowania do zaliczenia. Zaliczenie podczas którego sprawdzana będzie podstawowa znajomość kroków i figur polskich tańców narodowych na podstawie prezentacji przygotowanych tematów tanecznych i ogólnej wiedzy o polskich tańcach narodowych."
Teatr,12.0,w sali,"Ocena rozwoju i umiejętności na podstawie obecności i czynnego uczestnictwa w zajęciach i próbach oraz bieżącej działalności Teatru. Wymagany będzie udział w co najmniej dwóch projektach artystycznych (spektakl, koncert) w semestrze oraz działaniach okolicznościowych Teatru (Dzień Otwarty UW, Noc Muzeów UW, Święto UW itp.)."
Przedsiębiorczość - Otwórz Głowę!,4.0,mieszany: w sali i zdalnie,"Zaliczenie na ocenę. Składa się na nią: obecność, aktywność na zajęciach i stworzenie projektu."
Brydż Sportowy - grupa średnio-zaawansowana-kurs intensywny,6.0,w sali,"Obecność na zajęciach, ocena ciagła i test końcowy"
Szachy – grupa początkująca – kurs intensywny,6.0,zdalnie,"Obecność
Prace domowe (przynajmniej 80%)
Zaliczenie w formie testu
50% = 3, 70%=4 , 90%=5
Dopuszczalna liczba nieobecności:2"
Szachy – grupa średnio-zaawansowana – kurs intensywny,6.0,zdalnie,"Obecność
Obecność
Prace domowe 
Zaliczenie w formie testu
50% = 3, 70%=4 , 90%=5
Dopuszczalna liczba nieobecności: 2"
Akademia Filmowa. Semestr V.,6.0,mieszany: w sali i zdalnie,"Ocena 3 (dostateczny) na podstawie listy obecności (on-line: ilości zalogowań), 
oceny wyższe na podstawie końcowego zaliczenia pisemnego (pytania dotyczące treści wykładów i prezentowanych filmów), przeprowadzonego on-line."
Żydowski Uniwersytet Otwarty. CIAŁO 2.0,5.0,zdalnie,"Zaliczenie (TEST) na koniec semestru.
Każdy student, który uzyska pozytywną ocenę z zaliczenia końcowego w formie testu otrzyma 5 pkt. ECTS."
