Nazwa,ECTS,Tryb,Kryteria,kategorie
"Biblia a człowiek, polityka, wojny i władza",4.0,w sali,"Zajęcia w formie konwersatorium. Podstawą do dyskusji będzie lektura tekstów źródłowych i współczesnych
materiałów oraz wspólna ich analiza w trakcie kursu.
Kryteria zaliczenia przedmiotu:
Czynna obecność́ na zajęciach (możliwe dwie nieobecności).
Praca zaliczeniowa – esej na temat ustalony z prowadzącym.",Prawo i polityka
Freedom of Religion in the US Supreme Court Jurisprudence,4.0,,"Obecność, aktywność, esej.",Inne
Human rights protection,4.0,,"Assessment will be achieved by class attendance and participation in discussions (in cases of absence - a possibility of passing an oral test or preparing a written essay – chosen by the person conducting the classes).
For those interested preparing presentation on a subject agreed with academic.",Inne
"Powstanie nowoczesnych narodów i państw w Europie Środkowschodniej XIX, XX i XXI wieku",4.0,w sali,"kontrola obecności – charakter dopuszczający, ocena ciągła (bieżące przygotowanie do zajęć i aktywność) – 40%, praca semestralna (esej, referat): 60 %.",Inne
European legal tradition,4.0,w sali,"Zajęcia łączą tradycyjną metodę wykładu z elementami pracy własnej studentów. Każdy z uczestników zobowiązany jest do przygotowania prezentacji na wybrany przez siebie temat spośród listy 15 tematów podanych w ""pełnym opisie"". Jeśli nie uda się przedstawić prezentacji, student składana wybrany temat pisemny esej, który podlega ocenie.",Inne
Ochrona prawna konkurencji,4.0,zdalnie,"Poziom wiedzy, zrozumienie materiału i umiejętność samodzielnego wnioskowania, aktywność na zajęciach.
Analiza problemowa tekstów prawnych, kazusów, orzecznictwa. Samodzielne przygotowanie zajęć przez studentów.",Inne
Prawo reklamy,4.0,w sali,Sposób zaliczenia	Obecność na zajęciach. Referat opracowany pisemnie lub pisemna praca zaliczeniowa lub przygotowanie do zajęć i udział w dyskusjach.,Prawo i polityka
Konstytucyjne granice wolności jednostki,4.0,w sali,"Forma zaliczenia przedmiotu: lista obecności, praca zaliczeniowa.",Inne
Legal Philosophy and Legal Theory,4.0,w sali,,Inne
Ewolucja czy manipulacja - zmiany pojęć prawnych w dobie lewicowego i prawicowego populizmu,4.0,,"Podstawą oceny będzie obecność na zajęciach i stopień aktywnego uczestnictwa
Istotą prowadzonych zajęć jest odrzucenie wiedzy pamięciowej, mechanicznie przyswojonej, na rzecz rozumienia problemów. Podstawową formą zajęć będzie wykład i dyskusja.",Inne
International Space Law,4.0,,"Formative assessment will be achieved by presence in the course. Summative Assessment will be undertaken on an individual basis by way of active participation in the course and participation in the simulation preview. This assignment aims to encourage a deep and critical approach to learning, developing an ability to think widely about the issues of space environment presented within the courses and to explore these in line with directed and independent learning.",Inne
"Czarownice, zabójcy, rozwodnicy. Z dziejów prawa na ziemiach polskich XVI - XX w.",4.0,w sali,"Kontrola obecności: waga 40%
Kolokwium na koniec zajęć: waga 40%
Fakultatywny esej lub referat wygłaszany na zajęciach: waga 60%.",Inne
Prawo dyplomatyczne i konsularne,4.0,w sali,Zaliczenie pisemne lub odpowiedź ustna stanowi jedyną metodę oceny pracy studenta. Zaliczenie pisemne odbywa się w postaci testu jednokrotnego wyboru. W przypadku zaliczenia pisemnego test zalicza zaznaczenie ponad połowy dobrych odpowiedzi. Sprawdzana jest także obecność na zajęciach. Dopuszczalne są dwie nieobecności w semestrze.,Prawo i polityka
Międzynarodowe prawo karne,6.0,w sali,Podstawą zaliczenia będzie wystąpienie na zajęciach (krótkie wprowadzenie do tematu zajęć) lub esej. Aktywne uczestnictwo w zajęciach będzie promowane.,Prawo i polityka
"International, European and national aviation and space law",6.0,w sali,"Uczestnictwo w zajęciach, ocena pracy w czasie zajęć, ocena przygotowanych prezentacji – zgłoszenia dobrowolne; test sprawdzający wiedzę.",Inne
Nauka o państwie,4.0,w sali,,Inne
Polskie prawo wyznaniowe,4.0,w sali,"Ocena ciągła. Kryteria oceny to: uczestnictwo w zajęciach, aktywności podczas zajęć oraz wyniki testu sprawdzającego wiadomości przeprowadzonego pod koniec semestru.",Prawo i polityka
History of European Public Law,4.0,w sali,"1. Obecność na zajęciach.
2. Udział w dyskusji w trakcie zajęć.
3. Test końcowy (w przypadku braku aktywności na zajęciach).",Inne
Koncepcje ustrojowe we współczesnym świecie,4.0,w sali,"obecność na zajęciach
ocena ciągła (aktywność i przygotowanie do zajęć
Kolokwium końcowe.
Fakultatywnie (zamiennie w stosunku do kolokwium): esej na zadany temat.",Inne
Gwarancje praw obywatelskich,4.0,w sali,"Obecność na zajęciach
Zaliczenie kolokwium końcowego albo fakultatywnie napisanie eseuj na zadany temat 
Ocena bieżąca aktywności na zajęciach",Inne
Wybrane modele ustrojowe współczesnego świata,4.0,w sali,"kontrola obecności
ocena ciągła (bieżące przygotowanie do zajęć i aktywność)",Inne
Władza i przemoc – kontekst filozoficzno-kulturowy,3.0,,"Do uzyskania zaliczenia wymagane jest
- obecność na zajęciach (tj. nieprzekroczenie liczby dwóch nieobecności w semestrze)
- aktywność podczas omawiania lektur obowiązkowych
- napisanie krótkiej pracy zaliczeniowej o tematyce związanej z zagadnieniami wykładu (ok. 1500-2000 słów)",Inne
Kultura żywego słowa,2.0,,"-aktywne uczestnictwo w zajęciach.
-znajomość podstawowych zagadnień związanych z budową i działaniem narządu głosu 
-systematyczna ocena pracy nad głosem poprzez realizację ćwiczeń usprawniających funkcjonowanie aparatu głosowego: sprawne i poprawne mówienie, budowanie wypowiedzi, technika wymowy, operowanie środkami ekspresji.
-opracowanie wybranego tekstu literackiego pod kątem wystąpień publicznych.",Języki i kultury świata
Metodologia badań jakościowych,2.0,,"Aktywny udział w zajęciach – dyskusja w oparciu o lektury
Wykonanie zadań (np. przeprowadzenie wywiadu)",Inne
Warszawa wielokulturowa – historia i teraźniejszość,2.0,w sali i w terenie,"Aktywny udział w zajęciach (zaangażowanie w zwiedzanie i/lub dyskusje)
Przygotowanie przynajmniej jednego tematu (jednych zajęć)",Historia i archeologia
Evidence Made Easy: Impact Evaluations,3.0,,"(tylko po angielsku) • Student presentations: 30%
• Evaluation proposal: 50%
• Quizzes 20%
 Final assessment involves creating a comprehensive proposal for evaluating a real-world policy or program using one or more methods taught in the course.",Inne
Microsoft Excel w pracy finansisty-praktyczne przykłady zastosowań,3.0,,"Na końcową ocenę składają się:
- całościowa praca zaliczeniowa: 100 pkt
- dodatkowe punkty za aktywność (m.in.) wypowiedzi na forach, oraz dodatkowe zadania nieobowiązkowe.
Oceny: 
Punkty 	Ocena 
[0-50) 2
[50-60) 3
[60-70) 3,5
[70-80) 4
[80-90) 4,5
[90-100) 5
od 100 5!",Technologie i dane
Microsoft Excel w zastosowaniach statystycznych i biznesowych,3.0,,"Na końcową ocenę składają się:
- całościowa praca zaliczeniowa: 100 pkt
- dodatkowe punkty za aktywność (m.in.) wypowiedzi na forach, oraz dodatkowe zadania nieobowiązkowe.
Oceny: 
Punkty 	Ocena 
[0-50) 2
[50-60) 3
[60-70) 3,5
[70-80) 4
[80-90) 4,5
[90-100) 5
od 100 5!",Technologie i dane
Wprowadzenie do mikroekonomii - część 1 (kurs internetowy),3.0,,"W każdym temacie zajęć studenci mogą zdobyć 20 punktów za zadania domowe. Zadania domowe mają formę quizów do rozwiązania on-line oraz pytań lub zadań problemowych obrazujących analizowane w danym temacie kwestie. Dodatkowo proponowane są w każdym temacie dyskusje na forum wybranego problemu, najczęściej dotyczącego aktualnych wydarzeń gospodarczych na świecie lub w Polsce, widzianych z perspektywy ekonomisty zajmującego się mikroekonomią. Aktywność studentów w pracach domowych jest dokumentowana punktami. Kładziemy duży nacisk na systematyczność pracy, dlatego też na każdą pracę domową jest przewidziany czas 14 dni i nie jest możliwe jednorazowe przesłanie wszystkich rozwiązań zaległych zadań po terminie. Zebranie 60% ogólnej liczby punktów warunkuje dopuszczenie do egzaminu końcowego, który stanowi weryfikację zdobytej wiedzy. Egzamin ma formę pytań testowych z możliwością korzystania z materiałów zgromadzonych w trakcie kursu, tj. własnych notatek lub wydruków prezentacji oraz podręczników. Ocena końcowa z przedmiotu jest średnią z wyników uzyskanych z prac domowych oraz egzaminu z wagami 50%.",Inne
Metody matematyczne w naukach społecznych (kurs internetowy),3.0,,"Zaliczenie: ocena końcowa jest średnią z dwóch aktywności: zadań domowych (50%) oraz teście podsumowującym (50%). Obie aktywności polegają na rozwiązywaniu zadań na platformie e-learningowej https://elearning.wne.uw.edu.pl/.
Zaliczenie przedmiotu zdobywa się na podstawie dwóch typów aktywności – prac domowych (50%) oraz zaliczenia końcowego na ostatnich zajęciach (50%). 
Prace domowe (50%) i test końcowy (5-10 zadań rachunkowych do wyboru) (50%).",Inne
Program R w zastosowaniach ekonomicznych i finansowych (kurs internetowy),3.0,zdalnie,"Kurs prowadzony jest na platformie e-learningowej, co wymaga znacznej aktywności i systematyczności. Do końcowej oceny wliczane są prace domowe wykonywane cyklicznie, krótkie testy dostępne na platformie oraz końcowe zaliczenie w sali komputerowej na WNE UW lub przygotowanie własnego projektu. Premiowana jest aktywność na forach oraz rozwiązywanie dodatkowych zadań. Alternatywną formą zaliczenia jest przygotowanie użytecznego i interesującego pakietu dodatkowego do programu R. Szczegóły punktacji podane są na platformie e-learningowej.",Technologie i dane
"Rethinking Learning: Myths, Methods, and Effective Education",3.0,,"(tylko po angielsku) • Participation in discussions and group activities: 50%
• Quiz: 50%
The final assessment will involve creating a comprehensive proposal for implementing an innovative teaching method or curriculum design based on cognitive science principles. Students will present their ideas, supported by empirical evidence and real-world application examples.",Inne
Wstęp do Excela i analizy danych ekonomicznych (kurs internetowy),3.0,,"Na końcową ocenę składają się:
• dwie zbiorcze prace domowe każda punktowana po 30 punktów
• dodatkowa aktywność na forach dyskusyjnych
Punktacja:
Punkty Ocena
[0-30) 2
[30-36) 3
[36-42) 3,5
[42-48) 4
[48-54) 4,5
[54-60) 5
od 60 5!",Inne
Wprowadzenie do makroekonomii (kurs internetowy),3.0,,"Zaliczenie kursu wymaga regularnej pracy w trakcie semestru, dokumentowanej pracami domowymi. 
Na podstawie zebranych punktów możliwe jest uzyskanie zaliczenia (pod warunkiem zebrania min. 60% punktów) oraz oceny końcowej nie wyższej niż ocena dobra. Osoby chcące uzyskać ocenę wyższą niż 4,0 lub chcące poprawić ocenę końcową mają możliwość wziąć udział w pisemnym egzaminie końcowym, który odbędzie się „na żywo” na Wydziale Nauk Ekonomicznych UW. 
Egzamin ma formę testu, a w jego trakcie można korzystać z materiałów i podręcznika (ale nie z internetu).
W każdym temacie zajęć studenci mogą zdobyć 20 punktów za zadania domowe. Zadania domowe mają formę quizów do rozwiązania on-line lub pytań lub zadań problemowych obrazujących analizowane w danym temacie kwestie. Dodatkowo proponowane są w każdym temacie dyskusje na forum wybranego problemu, najczęściej dotyczącego aktualnych wydarzeń gospodarczych na świecie lub w Polsce, widzianych z perspektywy ekonomisty zajmującego się makroekonomią. Aktywność studentów w pracach domowych jest dokumentowana punktami. Duży nacisk kładziony jest na systematyczność pracy, dlatego też na każdą pracę domową jest przewidziany czas 14 dni i nie jest możliwe jednorazowe przesłanie wszystkich rozwiązań zaległych zadań po terminie. Zebranie min. 60% ogólnej liczby punktów daje zaliczenie kursu i ocenę nie wyższą niż dobrą. Osoby chcące poprawić uzyskana ocenę lub uzyskać ocenę bardzo dobrą mają możliwość udziału w egzaminie końcowym, który stanowi weryfikację zdobytej wiedzy. Egzamin odbywa się na WNE UW (ul. Długa 44/50 w Warszawie) ma formę pytań testowych z możliwością korzystania z materiałów zgromadzonych w trakcie kursu, tj. własnych notatek lub wydruków prezentacji oraz podręczników (bez dostępu do internetu).",Inne
Kryzysy bankowe i walutowe. Ich geneza i konsekwencje,3.0,,"Praca pisemna w postaci recenzji artykułu/opracowania naukowego, objętość recenzji 14 tys.-20 tys. znaków.
Prezentacja na zajęciach na wskazany temat. Prezentacja przygotowana indywidualnie lub w 2-3 osobowej grupie. 
Aktywność: uczestnictwo w dyskusji, z uwagi na zdalną formę zajęć także poprzez aktywność na forum, czacie, quizy. 
Obecność (dopuszczalne są 2 nieobecności); obecność będzie sprawdzana podczas zajęć. 
--------------------------------
Praca pisemna: 40% (student przesyła pracę e-mailem w terminie do 15 stycznia 2021 r.; zostanie ona poddane ocenie w trybie recenzji i odesłana).
Prezentacja: 40% (w terminach wskazanych przez prowadzącego na platformie cyfrowej, na której odbywają się zajęcia). 
Aktywność: 20%",Inne
Kompleksowe zarządzanie sobą w czasie,3.0,,"ocena ciągła - 50%
praca semestralna - 50%
obecności, aktywność, zadania, praca zaliczeniowa",Ekonomia i zarządzanie
Przedsiębiorczość,3.0,,"Zaliczenie na ocenę: prezentacje studenckie w grupach, oparte o bieżące aktywności do wykonania w trakcie semestru (zadania problemowe, analizy).",Inne
Innowacyjne modele biznesowe,3.0,,Przygotowanie 1 pracy grupowej oraz 2 prac indywidualnych w zajęć (60%) oraz test końcowy (40%).,Inne
Komunikacja transformująca,3.0,,"ocena ciągła - 50%
praca semestralna - 50%
Obecności, aktywność, zadania, praca zaliczeniowa",Media i komunikacja
Ekonomia smart city,3.0,,"Podstawą zaliczenia i oceny końcowej będzie średnia z dwóch ocen: ocen z testów cząstkowych; oceny prezentacji. Do zaliczenia przedmiotu konieczne jest uzyskanie pozytywnej oceny z każdego z tych elementów.
Podsumowaniem każdego bloku zajęć będzie krótki test. Planujemy 3-4 testy w semestrze. Każdy test ocenimy procentowo, nieobecność to 0%. Na koniec zostanie wyliczona średnia z uzyskanych ocen cząstkowych. (0-50% -2, 50% -60% - 3, 60% -70%; 3 +; 70% -80% - 4; 80% -90% 4 +; 90% -100% 5)
Dwa (lub trzy, w zależności od wielkości grupy) zajęcia będą poświęcone prezentacjom studentów. Prezentacje będą przedstawiać przykłady inteligentnych rozwiązań miejskich. Prezentacje mogą być przygotowywane samodzielnie lub, w przypadku dużej grupy studentów, w zespołach dwuosobowych.",Ekonomia i zarządzanie
